epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,342.079,1.13987,0.91849,0.90794,0.72904,0.59179,0.75689,0.47993,1.26675,0.92229,0.89176,0.000342666,0.000342666,0.000342666
58,347.975,1.12905,0.91965,0.92019,0.74129,0.57991,0.74796,0.51674,1.26807,0.88427,0.9067,0.000335053,0.000335053,0.000335053
59,353.369,1.17151,0.93745,0.92971,0.66881,0.63278,0.72312,0.49609,1.2958,0.90737,0.89951,0.00032744,0.00032744,0.00032744
60,359.996,1.16714,0.92709,0.92491,0.65359,0.69821,0.69002,0.47706,1.29072,0.90949,0.89728,0.000319827,0.000319827,0.000319827
61,365.532,1.17611,0.95676,0.9288,0.64594,0.7018,0.701,0.47617,1.26426,0.91155,0.89355,0.000312214,0.000312214,0.000312214
62,372.259,1.15216,0.90948,0.90949,0.58137,0.71046,0.66793,0.47217,1.29252,0.92419,0.89963,0.000304601,0.000304601,0.000304601
63,378.082,1.15359,0.92353,0.9223,0.57863,0.69396,0.65158,0.46527,1.28909,0.93949,0.90191,0.000296988,0.000296988,0.000296988
64,384.934,1.15019,0.9231,0.91926,0.63,0.61899,0.66909,0.45962,1.30088,0.94318,0.90068,0.000289375,0.000289375,0.000289375
65,389.174,1.15876,0.9206,0.92133,0.64469,0.66296,0.6796,0.45173,1.303,0.93233,0.89814,0.000281762,0.000281762,0.000281762
66,396.293,1.15429,0.92566,0.91818,0.63484,0.65248,0.66538,0.46286,1.31118,0.89852,0.89325,0.000274148,0.000274148,0.000274148
67,401.748,1.15368,0.90944,0.91897,0.67553,0.62146,0.69186,0.48644,1.32419,0.89355,0.89492,0.000266535,0.000266535,0.000266535
68,407.655,1.13814,0.88214,0.91034,0.71886,0.58482,0.66861,0.4874,1.26631,0.90245,0.88825,0.000258922,0.000258922,0.000258922
69,413.616,1.13597,0.9264,0.91417,0.62405,0.61739,0.69013,0.50429,1.28137,0.91123,0.89532,0.000251309,0.000251309,0.000251309
70,418.937,1.11081,0.90997,0.91341,0.55518,0.72139,0.69434,0.50148,1.29236,0.92407,0.90038,0.000243696,0.000243696,0.000243696
71,425.367,1.14752,0.8839,0.90444,0.72999,0.57931,0.71041,0.49996,1.27753,0.90065,0.91079,0.000236083,0.000236083,0.000236083
72,431.19,1.18414,0.89898,0.91304,0.67018,0.66984,0.73382,0.51673,1.25204,0.90308,0.9,0.00022847,0.00022847,0.00022847
73,437.612,1.07842,0.88064,0.9147,0.68332,0.66455,0.73217,0.51955,1.24926,0.91168,0.89161,0.000220857,0.000220857,0.000220857
74,443.299,1.09968,0.87395,0.9026,0.57785,0.70758,0.72456,0.5041,1.30085,0.94256,0.89996,0.000213244,0.000213244,0.000213244
75,449.861,1.13099,0.88552,0.90855,0.62135,0.64953,0.71973,0.51439,1.27983,0.93214,0.90118,0.000205631,0.000205631,0.000205631
76,456.013,1.1449,0.91292,0.9186,0.6339,0.61181,0.66294,0.49119,1.23624,0.91478,0.89132,0.000198018,0.000198018,0.000198018
77,461.753,1.1225,0.88934,0.91282,0.60114,0.61392,0.65098,0.47586,1.24827,0.91614,0.89068,0.000190404,0.000190404,0.000190404
78,467.884,1.07343,0.85271,0.90463,0.64911,0.58726,0.67138,0.49525,1.25403,0.90721,0.8859,0.000182791,0.000182791,0.000182791
79,472.914,1.07913,0.86367,0.90871,0.60096,0.74671,0.69494,0.48172,1.26663,0.91315,0.89024,0.000175178,0.000175178,0.000175178
80,479.394,1.10165,0.87093,0.90391,0.60952,0.71607,0.68939,0.49516,1.23796,0.91916,0.89041,0.000167565,0.000167565,0.000167565
81,484.263,1.12919,0.87282,0.90511,0.5833,0.71738,0.6724,0.4951,1.24113,0.92296,0.89417,0.000159952,0.000159952,0.000159952
82,491.395,1.07449,0.8549,0.90496,0.60712,0.62761,0.66001,0.48486,1.2879,0.89843,0.90076,0.000152339,0.000152339,0.000152339
